Measurement Name,Scanner_noise16-30-18 (Normal Range),
Time of run,08/09/2021 16:30:18 (1631115019),
Duration,50 s,
Measurement location,,
Analyzer model,,
Serial number,11035,
Operator name,,
Calibration,,
Notes,,

Measurement mode,Autostore (Normal Range),
Start mode,Normal,
Duration (s),50,

Channel 1,+0 dB,AC,,B&K4134_GRASS26AM_B&K4157,0.00441206 (V)/(Pa),

Signal CH1,20000 Hz / 51.2 kHz,,,,0.005,
1/3 Octave CH1,16 Hz ÷ 20 kHz,,,Fast,0.125,
FFT CH1,20 kHz,801 lines,Hanning,Fast,0.08,None,
SLM CH1,,,,,0.125,
Taktmaximal CH1,5 s,,,,5,
Marker,,,,,0.005,
,CH1,
Overload count,0,
Underrange count,0,
Marker count,Auto,Zug,Flugzeug,Pegelüberschreitung,Beschwerdeführer-Taste1,Beschwerdeführer-Taste2,
,0,0,0,0,0,0,
Time,Overload,Underrange,Marker,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000,SUM(LIN),SUM(A),
s,,,,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,
1.125,,,,84.2525482177734,65.0242385864258,61.0295066833496,78.2005157470703,66.5941543579102,72.3245315551758,72.0732955932617,67.8152618408203,67.0489044189453,73.9713745117188,72.2370681762695,73.3835525512695,75.6086883544922,78.2808990478516,82.4235687255859,87.9292755126953,96.6540603637695,105.888366699219,95.4794235229492,89.0496063232422,87.2310791015625,85.7079162597656,101.359436035156,92.8211669921875,96.1162567138672,77.0394744873047,78.1419219970703,80.8847122192383,71.1227874755859,64.7253341674805,61.926872253418,58.4868278503418,108.447769165039,108.299110412598,
1.25,,,,84.3734359741211,66.0598907470703,62.8260383605957,78.1004791259766,65.7754974365234,71.6206130981445,71.5004425048828,65.3710632324219,68.1872100830078,73.6470184326172,70.9244384765625,72.7974243164063,75.3430862426758,78.5894622802734,82.8079681396484,87.324104309082,96.647331237793,105.670822143555,95.5409698486328,89.080322265625,87.2571563720703,85.7322235107422,101.122520446777,92.9833221435547,95.851318359375,76.9056777954102,77.7986221313477,80.5960006713867,70.9547348022461,64.53759765625,61.6663665771484,58.2187614440918,108.268974304199,108.118606567383,
1.375,,,,83.9134292602539,63.7801818847656,62.5453796386719,78.1927032470703,65.4697341918945,71.4696426391602,71.1322326660156,67.2062530517578,69.1432495117188,73.3941268920898,69.9678115844727,72.0887145996094,75.5875549316406,78.3627853393555,82.7714538574219,87.5287780761719,96.7712707519531,105.934494018555,95.4744262695313,89.1004943847656,86.6334381103516,85.0368804931641,100.969360351563,91.6583938598633,95.2727203369141,76.5826873779297,77.6936950683594,80.363037109375,70.6825180053711,64.2230682373047,61.6148338317871,58.0462417602539,108.31999206543,108.111717224121,
1.5,,,,84.2097549438477,62.030647277832,59.236328125,77.7243194580078,66.554328918457,70.7275924682617,70.268424987793,69.4384307861328,67.5802764892578,73.6775665283203,68.3864288330078,72.1853866577148,75.3184967041016,78.0186004638672,82.0879364013672,87.5597229003906,96.9573516845703,106.221466064453,95.7105255126953,89.330078125,86.8904113769531,85.2707672119141,101.247856140137,91.9016571044922,95.5292587280273,76.6585693359375,77.9371490478516,80.6173553466797,70.9763641357422,64.5627593994141,61.9462814331055,58.2334098815918,108.58521270752,108.381927490234,
1.625,,,,84.6170501708984,62.3720855712891,64.7666549682617,77.8055114746094,66.1556854248047,71.7592926025391,71.7926864624023,67.4867324829102,66.7788162231445,73.1349334716797,67.7452697753906,70.4956741333008,73.0346755981445,76.3985290527344,80.3102416992188,85.9210815429688,95.0856704711914,104.252731323242,93.7313842773438,87.5230102539063,84.8794937133789,83.1686553955078,99.2263870239258,89.8377304077148,93.5341567993164,74.8002700805664,75.9484405517578,78.6323547363281,69.1487350463867,62.6264114379883,59.8761711120605,56.3716125488281,106.630584716797,106.401786804199,
1.75,,,,84.7089462280273,65.9062118530273,67.9349822998047,75.2420272827148,65.0224380493164,68.3388442993164,70.3006057739258,64.6305999755859,66.5755462646484,72.8187561035156,65.7608337402344,67.2242126464844,68.9275512695313,72.2277679443359,76.0529403686523,81.6389007568359,90.7762832641602,99.9390029907227,89.4040832519531,83.1910400390625,80.5511016845703,78.8332290649414,94.8866271972656,85.5027770996094,89.1962280273438,70.4765548706055,71.6137542724609,74.2955627441406,64.8235015869141,58.2957305908203,55.5478820800781,52.7730102539063,102.369522094727,102.078399658203,
1.875,,,,82.5849761962891,67.7285766601563,66.1673202514648,71.0229034423828,62.5586395263672,66.5980072021484,77.2185668945313,64.544807434082,64.3373489379883,72.1304626464844,67.7159042358398,64.5284194946289,65.1721572875977,68.0157928466797,71.8749237060547,77.3528594970703,86.434944152832,95.5968627929688,85.0618591308594,78.8515090942383,76.2091674804688,74.4917068481445,90.5437927246094,81.1608428955078,84.8535766601563,66.1379928588867,67.2723999023438,69.9550323486328,60.4917526245117,53.9716415405273,51.2305374145508,50.0158081054688,98.1288146972656,97.7370758056641,
2,,,,78.75390625,64.3378372192383,62.7340126037598,67.3647918701172,60.0325813293457,64.6177749633789,73.8918609619141,64.6463470458984,62.4213256835938,71.2131576538086,68.6613540649414,62.9672470092773,62.1103744506836,64.2314376831055,67.8813323974609,73.1652297973633,82.0981140136719,91.2541046142578,80.7197723388672,74.5130920410156,71.8690643310547,70.1521224975586,86.2009429931641,76.8189010620117,80.510986328125,61.8035507202148,62.9331245422363,65.6182250976563,56.1759262084961,49.6850357055664,46.961254119873,48.2214050292969,93.848991394043,93.3970718383789,
2.125,,,,74.6324005126953,62.3468399047852,59.2676887512207,63.6060485839844,60.510368347168,62.2918548583984,74.1377868652344,66.0038070678711,68.2538833618164,71.0103759765625,69.3410720825195,64.2047576904297,61.2262916564941,61.491943359375,64.2956237792969,69.0338897705078,77.7651290893555,86.9116058349609,76.3796539306641,70.1830444335938,67.5365753173828,65.8206405639648,81.8584594726563,72.4821701049805,76.1705932617188,57.5396041870117,58.6233177185059,61.3168907165527,52.0016098022461,45.5921020507813,42.9732551574707,47.3926734924316,89.7325897216797,89.0628204345703,
2.25,,,,70.6650466918945,61.5333976745605,58.7825927734375,60.1402053833008,59.4850120544434,63.1834831237793,72.1465072631836,67.8138046264648,67.4620513916016,72.3340759277344,66.9738693237305,61.6999282836914,62.5053749084473,59.4769744873047,61.128288269043,65.4365005493164,73.4457473754883,82.5699234008789,72.0423583984375,65.8902893066406,63.2151794433594,61.5037956237793,77.5163421630859,68.1484680175781,71.8314590454102,53.3148612976074,54.3213500976563,57.0226135253906,47.852653503418,41.6229553222656,39.1193466186523,46.9795608520508,85.8257293701172,84.7406692504883,
