Time,Overload,Underrange,Marker,LZF,LZFmax,LZFmax(t),LZFmin,LZFmin(t),LAF,LAFmax,LAFmax(t),LAFmin,LAFmin(t),LCF,LCFmax,LCFmax(t),LCFmin,LCFmin(t),LZS,LZSmax,LZSmax(t),LZSmin,LZSmin(t),LAS,LASmax,LASmax(t),LASmin,LASmin(t),LCS,LCSmax,LCSmax(t),LCSmin,LCSmin(t),LZI,LZImax,LZImax(t),LZImin,LZImin(t),LAI,LAImax,LAImax(t),LAImin,LAImin(t),LCI,LCImax,LCImax(t),LCImin,LCImin(t),LZeq(t),LAeq(t),LCeq(t),LZeq,LAeq,LCeq,LZE,LAE,LCE,LC - LA,LCeq - LAeq,LZIeq,LAIeq,LCIeq,LAIeq - LAeq,LZpk(t),LZpeak,LApk(t),LApeak,LCpk(t),LCpeak,LAtm5,LAtm5(t),LAtm5 - LAeq,LAF1,LAF5,LAF10,LAF50,LAF90,LAF95,LAF99,
s,,,,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,
20.25,,,,109.11060333252,110.532775878906,109.11060333252,76.8421096801758,108.332672119141,108.961471557617,110.530899047852,108.961471557617,63.8340148925781,108.158920288086,109.002548217773,110.41136932373,109.002548217773,75.2361907958984,108.221542358398,108.773880004883,110.454833984375,108.773880004883,99.7814178466797,108.677299499512,108.623397827148,110.472717285156,108.623397827148,99.5819244384766,108.52352142334,108.661651611328,110.330383300781,108.661651611328,99.6532516479492,108.564643859863,109.892074584961,109.969245910645,109.938735961914,101.685859680176,109.856636047363,109.744651794434,109.814636230469,109.791534423828,101.706680297852,109.693992614746,109.79216003418,109.854118347168,109.833938598633,101.560958862305,109.75562286377,108.915573120117,108.773071289063,108.800361633301,107.928329467773,107.768714904785,107.815132141113,120.992584228516,120.832969665527,120.879379272461,0.0272854324430227,0.0464166551828384,109.520614624023,109.351921081543,109.417541503906,1.58320772647858,120.298278808594,120.429527282715,121.365875244141,121.479019165039,120.260437011719,120.34041595459,109.395523071289,108.979911804199,1.62680625915527,109,108.900001525879,108.800003051758,108.400001525879,89.2700119018555,72.4650268554688,64.5439987182617,
20.375,,,,108.890907287598,110.532775878906,109.124946594238,76.8421096801758,108.334701538086,108.7666015625,110.530899047852,108.973457336426,63.8340148925781,108.167503356934,108.772247314453,110.41136932373,109.014625549316,75.2361907958984,108.223876953125,108.742660522461,110.454833984375,108.775871276855,99.7814178466797,108.677261352539,108.595512390137,110.472717285156,108.625175476074,99.5819244384766,108.524703979492,108.628967285156,110.330383300781,108.66332244873,99.6532516479492,108.563598632813,109.881294250488,109.969245910645,109.939147949219,101.685859680176,109.820930480957,109.717185974121,109.814636230469,109.772796630859,101.706680297852,109.674194335938,109.779022216797,109.854118347168,109.837753295898,101.560958862305,109.720275878906,108.461303710938,108.339065551758,108.335876464844,107.93180847168,107.772453308105,107.81852722168,121.022789001465,120.863426208496,120.90950012207,-0.00318559352308512,0.0460716262459755,109.522926330566,109.35425567627,109.419853210449,1.58180701732636,120.133148193359,120.429527282715,121.356475830078,121.479019165039,120.062141418457,120.34041595459,109.395523071289,108.979911804199,1.62306785583496,109,108.900001525879,108.800003051758,108.400001525879,89.6400146484375,72.6300201416016,64.5479965209961,
20.5,,,,108.77685546875,110.532775878906,109.110931396484,76.8421096801758,108.331893920898,108.641830444336,110.530899047852,108.962364196777,63.8340148925781,108.161468505859,108.661193847656,110.41136932373,109.002723693848,75.2361907958984,108.222396850586,108.727348327637,110.454833984375,108.77392578125,99.7814178466797,108.677215576172,108.579032897949,110.472717285156,108.624000549316,99.5819244384766,108.524276733398,108.61408996582,110.330383300781,108.661651611328,99.6532516479492,108.564765930176,109.838912963867,109.969245910645,109.942588806152,101.685859680176,109.824447631836,109.698913574219,109.814636230469,109.802581787109,101.706680297852,109.684715270996,109.737350463867,109.854118347168,109.83381652832,101.560958862305,109.722763061523,108.597747802734,108.437973022461,108.488510131836,107.936187744141,107.776840209961,107.822944641113,121.053733825684,120.894378662109,120.940475463867,0.050533302128315,0.0461035557091236,109.524917602539,109.356452941895,109.421859741211,1.57961022853851,120.280899047852,120.429527282715,121.40998840332,121.479019165039,120.188858032227,120.34041595459,109.395523071289,108.979911804199,1.61869049072266,109,108.900001525879,108.800003051758,108.400001525879,90.0100250244141,72.7949981689453,64.552001953125,
20.625,,,,108.656036376953,110.532775878906,109.124031066895,76.8421096801758,108.334510803223,108.503479003906,110.530899047852,108.976760864258,63.8340148925781,108.166488647461,108.542556762695,110.41136932373,109.014778137207,75.2361907958984,108.226196289063,108.712371826172,110.454833984375,108.775566101074,99.7814178466797,108.67781829834,108.562278747559,110.472717285156,108.62606048584,99.5819244384766,108.525833129883,108.59944152832,110.330383300781,108.663131713867,99.6532516479492,108.56477355957,109.900596618652,109.969245910645,109.962997436523,101.685859680176,109.840156555176,109.754493713379,109.817573547363,109.817573547363,101.706680297852,109.701095581055,109.789016723633,109.854118347168,109.851379394531,101.560958862305,109.738471984863,108.602310180664,108.438217163086,108.492134094238,107.940559387207,107.781158447266,107.82731628418,121.084503173828,120.925102233887,120.971260070801,0.05392050370574,0.0461591742932796,109.527290344238,109.35897064209,109.424179077148,1.57780838012695,120.314292907715,120.429527282715,121.456497192383,121.479019165039,120.298194885254,120.34041595459,109.395523071289,108.979911804199,1.61436080932617,109,108.900001525879,108.800003051758,108.400001525879,90.379997253418,72.9599990844727,64.5559997558594,
20.75,,,,108.361236572266,110.532775878906,109.143203735352,76.8421096801758,108.34831237793,108.238258361816,110.530899047852,108.993537902832,63.8340148925781,108.186149597168,108.241432189941,110.41136932373,109.033729553223,75.2361907958984,108.238372802734,108.680885314941,110.454833984375,108.779838562012,99.7814178466797,108.680885314941,108.534393310547,110.472717285156,108.630439758301,99.5819244384766,108.529884338379,108.567268371582,110.330383300781,108.667373657227,99.6532516479492,108.567268371582,109.886047363281,109.969245910645,109.960540771484,101.685859680176,109.848876953125,109.726364135742,109.817573547363,109.79931640625,101.706680297852,109.69987487793,109.787292480469,109.862449645996,109.862449645996,101.560958862305,109.754783630371,108.471496582031,108.352210998535,108.352851867676,107.943954467773,107.784843444824,107.830688476563,121.114135742188,120.955017089844,121.000869750977,0.000641948310658336,0.0458481200039387,109.529556274414,109.361282348633,109.426460266113,1.57644248008728,120.289085388184,120.429527282715,121.293067932129,121.479019165039,120.071136474609,120.34041595459,109.395523071289,108.979911804199,1.61067962646484,109,108.900001525879,108.800003051758,108.400001525879,90.75,73.125,64.5599975585938,
20.875,,,,108.403587341309,110.532775878906,109.132354736328,76.8421096801758,108.351211547852,108.232269287109,110.530899047852,108.985145568848,63.8340148925781,108.183662414551,108.29273223877,110.41136932373,109.025299072266,75.2361907958984,108.243743896484,108.689743041992,110.454833984375,108.780242919922,99.7814178466797,108.682289123535,108.538116455078,110.472717285156,108.631500244141,99.5819244384766,108.530899047852,108.57723236084,110.330383300781,108.668182373047,99.6532516479492,108.570114135742,109.861709594727,109.971633911133,109.971633911133,101.685859680176,109.861709594727,109.72225189209,109.834602355957,109.834602355957,101.706680297852,109.72225189209,109.754821777344,109.862449645996,109.86051940918,101.560958862305,109.754821777344,108.800308227539,108.611526489258,108.696174621582,107.949615478516,107.79029083252,107.836418151855,121.145889282227,120.986557006836,121.032684326172,0.0846485123038292,0.0461303368210793,109.531616210938,109.363540649414,109.428497314453,1.57324659824371,120.200424194336,120.429527282715,121.433807373047,121.479019165039,120.202865600586,120.34041595459,109.395523071289,108.979911804199,1.60523414611816,109,108.900001525879,108.800003051758,108.400001525879,91.1200103759766,73.2900009155273,64.5639953613281,
21,,,,108.674423217773,110.532775878906,109.150436401367,76.8421096801758,108.361083984375,108.504859924316,110.530899047852,109.002410888672,63.8340148925781,108.196548461914,108.563110351563,110.41136932373,109.041473388672,75.2361907958984,108.251800537109,108.726203918457,110.454833984375,108.783660888672,99.7814178466797,108.685546875,108.574783325195,110.472717285156,108.634986877441,99.5819244384766,108.53466796875,108.613525390625,110.330383300781,108.67130279541,99.6532516479492,108.572631835938,109.927810668945,109.974128723145,109.974128723145,101.685859680176,109.853332519531,109.773941040039,109.834602355957,109.817283630371,101.706680297852,109.715972900391,109.816017150879,109.876617431641,109.876617431641,101.560958862305,109.745719909668,109.013816833496,108.866500854492,108.899673461914,107.956787109375,107.797554016113,107.84358215332,121.178985595703,121.019744873047,121.065780639648,0.0331741534173489,0.0460314564406872,109.534080505371,109.366088867188,109.43091583252,1.56854391098022,120.390312194824,120.429527282715,121.371063232422,121.479019165039,120.179740905762,120.34041595459,109.395523071289,108.979911804199,1.59796714782715,109,108.900001525879,108.800003051758,108.400001525879,91.4900207519531,73.4550094604492,64.568000793457,
21.125,,,,108.922203063965,110.532775878906,109.140884399414,76.8421096801758,108.351654052734,108.769828796387,110.530899047852,108.993865966797,63.8340148925781,108.178291320801,108.815269470215,110.41136932373,109.030235290527,75.2361907958984,108.240280151367,108.758682250977,110.454833984375,108.785018920898,99.7814178466797,108.685722351074,108.609649658203,110.472717285156,108.636672973633,99.5819244384766,108.533828735352,108.646408081055,110.330383300781,108.672241210938,99.6532516479492,108.573043823242,109.933456420898,109.974128723145,109.953704833984,101.685859680176,109.850776672363,109.776008605957,109.834602355957,109.796600341797,101.706680297852,109.699256896973,109.833419799805,109.876617431641,109.853439331055,101.560958862305,109.73828125,108.984672546387,108.85417175293,108.874603271484,107.963645935059,107.804626464844,107.850463867188,121.211616516113,121.052589416504,121.098434448242,0.0204444713890553,0.0458388477563858,109.536560058594,109.368637084961,109.433410644531,1.56401443481445,120.378456115723,120.429527282715,121.442932128906,121.479019165039,120.172225952148,120.34041595459,109.395523071289,108.979911804199,1.59090042114258,109,108.900001525879,108.800003051758,108.400001525879,91.8600311279297,73.6200180053711,64.5719985961914,
21.25,,,,109.130661010742,110.532775878906,109.130661010742,76.8421096801758,108.34789276123,108.98095703125,110.530899047852,108.983627319336,63.8340148925781,108.186256408691,109.021224975586,110.41136932373,109.021224975586,75.2361907958984,108.237686157227,108.784934997559,110.454833984375,108.784934997559,99.7814178466797,108.686225891113,108.636642456055,110.472717285156,108.636642456055,99.5819244384766,108.536079406738,108.672286987305,110.330383300781,108.672286987305,99.6532516479492,108.572418212891,109.920516967773,109.974128723145,109.967155456543,101.685859680176,109.879371643066,109.779754638672,109.834602355957,109.827270507813,101.706680297852,109.723670959473,109.811462402344,109.876617431641,109.857933044434,101.560958862305,109.778503417969,108.937255859375,108.794998168945,108.821189880371,107.970062255859,107.811164855957,107.856857299805,121.243659973145,121.084754943848,121.130447387695,0.0261984672397375,0.0456946529448032,109.538917541504,109.37117767334,109.435737609863,1.56001198291779,120.28800201416,120.429527282715,121.322677612305,121.479019165039,120.188842773438,120.34041595459,109.395523071289,108.979911804199,1.58435821533203,109,108.900001525879,108.800003051758,108.400001525879,92.2300109863281,73.7850036621094,64.5759963989258,
21.375,,,,108.913764953613,110.532775878906,109.142318725586,76.8421096801758,108.356506347656,108.789047241211,110.530899047852,108.998275756836,63.8340148925781,108.193778991699,108.794021606445,110.41136932373,109.034439086914,75.2361907958984,108.245666503906,108.754898071289,110.454833984375,108.786758422852,99.7814178466797,108.689025878906,108.610122680664,110.472717285156,108.639419555664,99.5819244384766,108.539215087891,108.640914916992,110.330383300781,108.674354553223,99.6532516479492,108.575775146484,109.906379699707,109.974128723145,109.963882446289,101.685859680176,109.84846496582,109.753936767578,109.834602355957,109.809959411621,101.706680297852,109.708786010742,109.808837890625,109.876617431641,109.867568969727,101.560958862305,109.738815307617,108.482475280762,108.364501953125,108.358032226563,107.973243713379,107.81462097168,107.859962463379,121.272308349609,121.113670349121,121.159027099609,-0.00647390447556973,0.0453506223857403,109.541160583496,109.373512268066,109.438011169434,1.5589017868042,120.2763671875,120.429527282715,121.397979736328,121.479019165039,120.193771362305,120.34041595459,109.395523071289,108.979911804199,1.58090591430664,109,108.900001525879,108.800003051758,108.400001525879,92.5999984741211,73.9499969482422,64.5799942016602,
21.5,,,,108.797157287598,110.532775878906,109.124481201172,76.8421096801758,108.343879699707,108.656707763672,110.530899047852,108.974685668945,63.8340148925781,108.16975402832,108.680305480957,110.41136932373,109.014617919922,75.2361907958984,108.232002258301,108.739814758301,110.454833984375,108.785316467285,99.7814178466797,108.688171386719,108.592590332031,110.472717285156,108.637016296387,99.5819244384766,108.537071228027,108.626159667969,110.330383300781,108.672561645508,99.6532516479492,108.575271606445,109.844604492188,109.974128723145,109.947425842285,101.685859680176,109.829925537109,109.69344329834,109.834602355957,109.796020507813,101.706680297852,109.678916931152,109.742881774902,109.876617431641,109.836647033691,101.560958862305,109.728172302246,108.611190795898,108.44246673584,108.500671386719,107.977233886719,107.818534851074,107.863983154297,121.301620483398,121.142921447754,121.188362121582,0.0581991858780384,0.0454371459782124,109.542991638184,109.375450134277,109.439849853516,1.5569052696228,120.324028015137,120.429527282715,121.425155639648,121.479019165039,120.253059387207,120.34041595459,109.395523071289,108.979911804199,1.57698631286621,109,108.900001525879,108.800003051758,108.449996948242,92.6600036621094,74.1150131225586,64.5839996337891,
21.625,,,,108.688858032227,110.532775878906,109.147811889648,76.8421096801758,108.355186462402,108.528106689453,110.530899047852,108.99674987793,63.8340148925781,108.189331054688,108.571472167969,110.41136932373,109.037414550781,75.2361907958984,108.243591308594,108.727607727051,110.454833984375,108.788749694824,99.7814178466797,108.69010925293,108.577651977539,110.472717285156,108.64037322998,99.5819244384766,108.539794921875,108.613693237305,110.330383300781,108.675872802734,99.6532516479492,108.576057434082,109.92049407959,109.981842041016,109.981842041016,101.685859680176,109.846122741699,109.770668029785,109.834602355957,109.83317565918,101.706680297852,109.69596862793,109.808624267578,109.876617431641,109.875259399414,101.560958862305,109.744247436523,108.638374328613,108.467651367188,108.522789001465,107.981369018555,107.822578430176,107.868087768555,121.330932617188,121.172142028809,121.217651367188,0.0551398172974586,0.0455020368099213,109.545272827148,109.377830505371,109.442070007324,1.55525195598602,120.267333984375,120.429527282715,121.383750915527,121.479019165039,120.229911804199,120.34041595459,109.395523071289,108.979911804199,1.57294273376465,109,108.900001525879,108.800003051758,108.5,92.7200012207031,74.2799911499023,64.5879974365234,
21.75,,,,108.392807006836,110.532775878906,109.162902832031,76.8421096801758,108.373306274414,108.259811401367,110.530899047852,109.008316040039,63.8340148925781,108.202911376953,108.271530151367,110.41136932373,109.050788879395,75.2361907958984,108.261535644531,108.696640014648,110.454833984375,108.794021606445,99.7814178466797,108.695892333984,108.549438476563,110.472717285156,108.644638061523,99.5819244384766,108.54434967041,108.582168579102,110.330383300781,108.680572509766,99.6532516479492,108.582168579102,109.91374206543,109.987518310547,109.987518310547,101.685859680176,109.866874694824,109.745742797852,109.834602355957,109.818298339844,101.706680297852,109.715438842773,109.810905456543,109.885261535645,109.885261535645,101.560958862305,109.766555786133,108.489929199219,108.363761901855,108.371627807617,107.984466552734,107.825897216797,107.871154785156,121.35905456543,121.200485229492,121.245742797852,0.00787301361560822,0.0452579185366631,109.547485351563,109.380043029785,109.444282531738,1.55414640903473,120.350303649902,120.429527282715,121.413146972656,121.479019165039,120.350425720215,120.350425720215,109.395523071289,108.979911804199,1.56962394714355,109,108.900001525879,108.800003051758,108.449996948242,92.7799987792969,74.4450073242188,64.5919952392578,
